year,date,time,location,shotspotter_alert,shell_casings,injuries,arrests,additional_details
2018,2018-04-16,1:40 AM,100 block of Columbia St,TRUE,3,0,0,Shots fired on 4.16 at 1:40am 100 block of Columbia St: ShotSpotter alert and 3-5 shots reported. Three shell casings recovered.
2018,2018-05-09,2:30 AM,Bishop Allen Dr & Norfolk St,TRUE,1,0,0,Shots fired on 5.9 at 2:30am Bishop Allen Dr & Norfolk St: ShotSpotter alert. One shell casing found in the middle of Lot 5.
2018,2018-05-02,2:45 AM,Bishop Allen Dr & Douglass St,TRUE,7,0,0,Shots fired on 5.2 at 2:45am Bishop Allen Dr & Douglass St: ShotSpotter alert. Seven shell casings found on Bishop Allen Dr.
2018,2018-07-23,1:45 AM,Henry St & Waverly St,FALSE,6,0,0,"Shots fired on 7.23 at 1:45am Henry St & Waverly St: Six shell casings recovered at Waverly & Chestnut St, and a car window was found shattered on Henry St."
2018,2018-06-06,4:40 PM,Columbia St @ Columbia Ter.,FALSE,,0,1,Shots fired on 6.6 at 4:40pm Columbia St @ Columbia Ter.: Two parties exchanged words and then fired at each other. No injuries reported. Several shell casings of 2 different calibers found. Shawndell Johnson of Cambridge arrested on 6.8.
2018,2018-01-31,6:00 PM,Cherry St & School St,TRUE,4,0,0,Shots fired on 1.31 at 6pm and 3.31 at 4am Cherry St & School St: Two separate incidents. ShotSpotter alerts in both. Four casings found on 1.31. Four casings of a different caliber found on 3.31. No injuries.
2018,2018-03-31,4:00 AM,Cherry St & School St,TRUE,4,0,0,Shots fired on 1.31 at 6pm and 3.31 at 4am Cherry St & School St: Two separate incidents. ShotSpotter alerts in both. Four casings found on 1.31. Four casings of a different caliber found on 3.31. No injuries.
2018,2018-07-14,1:25 AM,Cherry St & Eaton St,TRUE,10,1,0,Shots w/ victim on 7.14 at 1:25am Cherry St & Eaton St: ShotSpotter alert. 20-year-old Somerville male non-fatally shot in the arm. Ten shell casings and one live bullet recovered. Two vehicles and a residence on Cherry St sustained bullet damage.
2018,2018-07-14,12:15 AM,Cambridge St & Fifth St,FALSE,6,1,0,Shots w/ victim on 7.14 at 12:15am Cambridge St & Fifth St: 28-year-old Cambridge male non-fatally shot in the arm while sitting in a car. Six shell casings and one spent round recovered.
2018,2018-05-29,11:55 PM,100 block of Harvard St,TRUE,4,0,0,Shots fired on 5.29 at 11:55pm 100 block of Harvard St: ShotSpotter alert. Four shell casings recovered and two vehicles sustained bullet damage. No injuries.
2018,2018-06-16,9:25 PM,Harvard St & Moore St,TRUE,6,0,0,Shots fired on 6.16 at 9:25pm Harvard St & Moore St: ShotSpotter alert. Six shell casings and two bullet fragments recovered. No injuries.
2018,2018-05-30,4:00 AM,1001 Cambridge St (Richie's Shell),TRUE,,1,0,Shots w/ victim on 5.30 at 4am 1001 Cambridge St (Richie’s Shell): ShotSpotter alert. Clerk was non-fatally shot in foot during altercation with suspect over stolen water bottle. Warrants have been issued for the suspect.
2018,2018-05-20,3:20 AM,200 block of Elm St.,TRUE,,0,1,Shots fired on 5.20 at 3:20am 200 block of Elm St: ShotSpotter alert. Evidence of shots fired into residence. Shell casings located outside. No injuries. Jean Griffin of Boston arrested on 5.24.
2018,2018-07-14,9:00 PM,Jackson St,FALSE,1,0,0,"Shots fired on 7.14 at 9pm Jackson St: One shot reported, one shell casing recovered. No injuries or damage reported."
2018,2018-08-12,4:15 PM,Lawn & May St.,FALSE,0,0,0,"Shots fired on 8.12 at 4:15pm, Lawn & May St: Multiple calls for shots fired. No injuries reported or shell casings found, but incident is being investigated as a shots fired event."
2018,2018-10-09,11:00 PM,Pine St & Washington St,TRUE,4,1,0,"Shots w/ victim on 10.9 at 11pm, Pine St & Washington St: ShotSpotter alert. 19-year-old Revere male non-fatally shot in the legs. Four spent rounds and one live round recovered. Incident under investigation."
2018,2018-12-03,9:45 PM,Pine St & School St,TRUE,1,0,0,Shots fired on 12.3 at 9:45pm Pine St & School St ShotSpotter alert. One shell casing recovered. Black sedan seen fleeing. No injuries reported.
2018,2018-08-16,2:05 AM,Clement Morgan Park & 600 block Main St,TRUE,0,0,1,"2 Shots fired on 8.16 at 2:05 -2:15am, Clement Morgan Park & 600 block Main St ShotSpotter alerts at both locations. No shell casings found but Jean Carlos Almodovar of Revere was arrested nearby with a gun."
2018,2018-08-16,2:15 AM,Clement Morgan Park & 600 block Main St,TRUE,0,0,1,"2 Shots fired on 8.16 at 2:05 -2:15am, Clement Morgan Park & 600 block Main St ShotSpotter alerts at both locations. No shell casings found but Jean Carlos Almodovar of Revere was arrested nearby with a gun."
2018,2018-09-05,12:50 AM,Chesnut St.,FALSE,0,0,0,"Shots fired on 9.5 at 12:50am 0 Block of Chestnut St. Multiple reports of gunshots, but no evidence found or injuries reported. A firearm was located nearby in a discarded bag. Incident remains under investigation."
2018,2018-08-28,1:20 AM,400 Block of Memorial Dr.,FALSE,,0,0,(MIT incident) Shots fired on 8.28 at 1:20am 400 Block of Memorial Dr. Gunshots reported near an MIT fraternity on Memorial Dr. Shell casings & bullet damage located the next morning. No injuries reported
2018,2018-11-29,2:34 PM,Sidney & Chestnut St.,FALSE,,1,2,"Shots w/ victim on 11.29.18; 2:34pm at Sidney & Chestnut St, followed by Shots fired at 2:40pm at Columbia & Sidney St Ext. Shots fired from one vehicle at another at Sidney & Chestnut St; driver of one vehicle non-fatally grazed in head. Both cars then drove to Sidney St Ext and Columbia St, exchanged gunfire (ShotSpotter alert). One car stopped by police on Land Blvd, 2 males arrested. Second vehicle fled."
2018,2018-11-29,2:40 PM,Columbia & Sidney St Ext,TRUE,,1,2,"Shots w/ victim on 11.29.18; 2:34pm at Sidney & Chestnut St, followed by Shots fired at 2:40pm at Columbia & Sidney St Ext. Shots fired from one vehicle at another at Sidney & Chestnut St; driver of one vehicle non-fatally grazed in head. Both cars then drove to Sidney St Ext and Columbia St, exchanged gunfire (ShotSpotter alert). One car stopped by police on Land Blvd, 2 males arrested. Second vehicle fled."
2019,2019-06-06,3:00 AM,Eliot St.,FALSE,1,0,0,Shots fired on 6.6 at 3:00am 16 Eliot St No ShotSpotter alert (outside of coverage area). 2 males fired gun at 4 victims after verbal dispute inside IHOP. 1 shell casing recovered. No injuries.
2019,2019-10-12,7:14 PM,Hampshire & Windsor St,FALSE,4,0,0,Shots fired on 10.12 at 7:15pm Hampshire & Windsor St No ShotSpotter alert. Multiple shots fired. Two vehicles seen fleeing. Four shell casings recovered and no injuries reported.
2019,2019-01-23,3:00 AM,1000 block of Cambridge St.,TRUE,,0,1,Shots fired on 1.23 at 3:00am 1000 block of Cambridge St. ShotSpotter alert. Suspect fired multiple rounds at victim during altercation outside of Richie’s Shell gas station. No injuries. Somerville male arrested on 1.24 in connection with this incident.
2019,2019-10-06,8:45 PM,Area of York St & Hamlin St.,TRUE,,0,0,Shots fired on 10.5 at 8:45pm Area of York St & Hamlin St ShotSpotter alert. 1-2 shots heard. Bullet hole located in parked car window. No injuries.
2019,2019-10-12,11:30 PM,100 block of Sciarappa St.,FALSE,,0,1,Shots fired on 10.12 at 11:30pm 100 block of SciarappaSt No ShotSpotter alert. Multiple reports of gunshots. No injuries reported. Involved party was identified and will be charged with firearm offenses. Ammo and two firearms were recovered.
2019,2019-08-07,2:35 AM,Main St / NewtowneCourt,TRUE,0,0,0,Shots fired on 8.7 at 2:35am Main St / NewtowneCourt ShotSpotter alert. Witness saw argument & heard 1 shot fired. No shell casings recovered and no injuries reported.
2019,2019-06-27,1:00 AM,Cherry St & School St,TRUE,1,0,0,Shots fired on 6.27 at 1am Cherry St & School St ShotSpotter alert. Reports of 2 shots fired. One shell casing recovered. No injuries reported.
2019,2019-05-21,2:05 AM,Bishop Allen Dr & School St.,TRUE,0,0,0,Shots fired on 5.21 at 2:05am Bishop Allen Dr & School St ShotSpotter alert. Multiple calls for shots fired. 5 bullet holes found in building on Bishop Allen Dr. No shell casings found. No injuries reported.
2019,2019-04-24,12:05 AM,0 Block of Brookline St.,TRUE,0,0,0,Shots fired on 4.24 at 12:05am 0 Block of Brookline St. ShotSpotter alert. Suspect was reportedly seen firing gun straight up into the air. Suspect fled. No victims. No shell casings recovered.
2019,2019-05-13,5:50 PM,Pearl St & Mass Ave,FALSE,2,0,2,"Shots fired on 5.13 at 5:50pm Pearl St & Mass Ave No ShotSpotter alert. Male suspect seen firing gun, accompanied by 3 other males. All fled. 2 shell casings and 1 spent round recovered. No victims with injuries. 2 Boston males (both juveniles) were arrested on warrants on 5.21."
2019,2019-05-12,3:30 AM,20 Eliot St,FALSE,4,1,3,Shooting on 5.12 at 3:30am 20 Eliot St No ShotSpotter alert (outside of coverage area). 18-year-old Cambridge male non-fatally shot during fight outside IHOP. 4 casings recovered. 3 Somerville males (2 adults and 1 juvenile) were arrested on warrants in connection with this shooting on 5.16.
2020,2020-12-21,8:47 PM,110 Harvard St.,TRUE,9,0,0,"Shots fired on 12.21 at 8:47pm 110 Harvard St ShotSpotter alert. Nine shell casings and one live round were recovered. One vehicle was struck by gunshots, but no injuries were reported."
2020,2020-05-02,5:15 PM,Harvard St & Portland St.,TRUE,5,0,1,"Shots fired on 5.2 at 5:15pm Harvard St & Portland St ShotSpotter alert. Multiple shots fired. Five shell casings recovered. One vehicle—with two occupants—was struck by gunshots, but no injuries were reported. A 19-year-old Cambridge male was arrested on 5.3.20 in connection with this incident."
2020,2020-08-03,12:51 PM,Washington Elms / Portland St.,FALSE,8,0,0,Shots fired on 8.3 at 12:51pm Washington Elms / Portland St No ShotSpotter alert. 8 shell casings recovered. No injuries reported. Black SUV seen fleeing the scene.
2020,2020-10-08,9:39 PM,600 Tech Sq,FALSE,1,0,0, Shots fired on 10.8 at 9:39pm 600 Tech Sq No ShotSpotter alert. ATM glass found shattered. 1 bullet fragment and 1 shell casing recovered. No injuries reported
2020,2020-11-01,1:24 AM,Outside 575 Memorial Dr,FALSE,2,0,0,Shots fired on 11.1 at 1:24am Outside 575 Memorial Dr No ShotSpotter alert. One spent round and two shell casings recovered on Vassar St. No injuries reported.
2020,2020-07-02,9:41 PM,110 Harvard St.,TRUE,40,0,0,Shots fired on 7.2 at 9:41pm 110 Harvard St ShotSpotter alert. Over 40 shell casings recovered. No injuries reported. Unknown at this time if related to a shooting in Somerville an hour later.
2020,2020-05-18,5:53 PM,Jackson Circle,FALSE,,0,0,"Shots fired on 5.18 at 5:53pm Jackson Circle No ShotSpotter alert. Multiple reports of shots fired. Several shell casings were recovered and two vehicles sustained ballistic damage, but no injuries were reported."
2021,2021-03-26,8:30 PM,Harvard St & Windsor,TRUE,1,0,0,Shots Fired on 3.26 at 8:30pm Harvard St & Windsor St ShotSpotter alert. One shell casing recovered. No injuries reported.
2021,2021-03-02,1:30 AM,Fifth St & Spring St,FALSE,,1,0,"Shooting on 3.2 at 1:30am Fifth St & Spring St No ShotSpotter alert. 33-yearold male sustained non-fatal gunshot wound to the chest. Two abandoned vehicles, a firearm, a knife, and a large amount of crack cocaine were located in the area. Investigation is ongoing"
2021,2021-05-10,2:15 AM,100 block of Harvard St.,TRUE,30,2,0,Shooting on 5.10 at 2:15am 100 block of Harvard Street ShotSpotter alert. 30-yr-old male formerly of Cambridge and 24-yr-old male formerly of Somerville sustained nonfatal gunshot wounds. Over 30 shell casings recovered. Investigation is ongoing
2021,2021-03-24,3:30 PM,100 block of Cherry St,FALSE,1,0,0,Shots Fired on 3.24 at 3:30pm 100 block of Cherry St No ShotSpotter alert. One shell casing recovered. No injuries reported.
2021,2021-05-19,12:10 AM,100 block of Cherry Street,TRUE,6,2,0,"Shooting on 5.19 at 12:10am 100 block of Cherry Street ShotSpotter alert. 26-yr-old male and 35-yr-old male, both of Cambridge, sustained nonfatal gunshot wounds. Six shell casings recovered. Investigation is ongoing"
