,index,year,date,time,location,shotspotter_alert,shell_casings,injuries,arrests,additional_details,partial_address,LAT_LON_arcgis
0,0,2018,2018-04-16,1:40 AM,100 block of Columbia St,True,3.0,0,0,Shots fired on 4.16 at 1:40am 100 block of Columbia St: ShotSpotter alert and 3-5 shots reported. Three shell casings recovered.,"100 block of Columbia St, Cambridge, Massachusetts","(42.366920499219, -71.097891725775)"
1,1,2018,2018-05-09,2:30 AM,Bishop Allen Dr & Norfolk St,True,1.0,0,0,Shots fired on 5.9 at 2:30am Bishop Allen Dr & Norfolk St: ShotSpotter alert. One shell casing found in the middle of Lot 5.,"Bishop Allen Dr & Norfolk St, Cambridge, Massachusetts","(42.365228385835, -71.101274085744)"
2,2,2018,2018-05-02,2:45 AM,Bishop Allen Dr & Douglass St,True,7.0,0,0,Shots fired on 5.2 at 2:45am Bishop Allen Dr & Douglass St: ShotSpotter alert. Seven shell casings found on Bishop Allen Dr.,"Bishop Allen Dr & Douglass St, Cambridge, Massachusetts","(42.364693410864, -71.100353836594)"
3,3,2018,2018-07-23,1:45 AM,Henry St & Waverly St,False,6.0,0,0,"Shots fired on 7.23 at 1:45am Henry St & Waverly St: Six shell casings recovered at Waverly & Chestnut St, and a car window was found shattered on Henry St.","Henry St & Waverly St, Cambridge, Massachusetts","(42.35499211231, -71.106727435769)"
4,4,2018,2018-06-06,4:40 PM,Columbia St @ Columbia Ter.,False,,0,1,Shots fired on 6.6 at 4:40pm Columbia St @ Columbia Ter.: Two parties exchanged words and then fired at each other. No injuries reported. Several shell casings of 2 different calibers found. Shawndell Johnson of Cambridge arrested on 6.8.,"Columbia St @ Columbia Ter., Cambridge, Massachusetts","(42.3648314189, -71.099106609402)"
5,5,2018,2018-01-31,6:00 PM,Cherry St & School St,True,4.0,0,0,Shots fired on 1.31 at 6pm and 3.31 at 4am Cherry St & School St: Two separate incidents. ShotSpotter alerts in both. Four casings found on 1.31. Four casings of a different caliber found on 3.31. No injuries.,"Cherry St & School St, Cambridge, Massachusetts","(42.363932585513, -71.09746803115)"
6,6,2018,2018-03-31,4:00 AM,Cherry St & School St,True,4.0,0,0,Shots fired on 1.31 at 6pm and 3.31 at 4am Cherry St & School St: Two separate incidents. ShotSpotter alerts in both. Four casings found on 1.31. Four casings of a different caliber found on 3.31. No injuries.,"Cherry St & School St, Cambridge, Massachusetts","(42.363932585513, -71.09746803115)"
7,7,2018,2018-07-14,1:25 AM,Cherry St & Eaton St,True,10.0,1,0,Shots w/ victim on 7.14 at 1:25am Cherry St & Eaton St: ShotSpotter alert. 20-year-old Somerville male non-fatally shot in the arm. Ten shell casings and one live bullet recovered. Two vehicles and a residence on Cherry St sustained bullet damage.,"Cherry St & Eaton St, Cambridge, Massachusetts","(42.364472505806, -71.097305338409)"
8,8,2018,2018-07-14,12:15 AM,Cambridge St & Fifth St,False,6.0,1,0,Shots w/ victim on 7.14 at 12:15am Cambridge St & Fifth St: 28-year-old Cambridge male non-fatally shot in the arm while sitting in a car. Six shell casings and one spent round recovered.,"Cambridge St & Fifth St, Cambridge, Massachusetts","(42.371436987245, -71.083125002255)"
9,9,2018,2018-05-29,11:55 PM,100 block of Harvard St,True,4.0,0,0,Shots fired on 5.29 at 11:55pm 100 block of Harvard St: ShotSpotter alert. Four shell casings recovered and two vehicles sustained bullet damage. No injuries.,"100 block of Harvard St, Cambridge, Massachusetts","(42.365783204961, -71.094771028075)"
