,lat,lon,,
0,-33.907734,25.5544,South Africa,
1,-33.910441,25.555531,South Africa,
2,-33.910902,25.553066,South Africa,
3,-33.908872,25.55266,South Africa,
4,-33.910655,25.547553,South Africa,
5,-33.91201667,25.54138667,South Africa,
6,-33.909441,25.54607,South Africa,
7,-33.906135,25.547939,South Africa,
8,-33.906051,25.551743,South Africa,
9,-33.90915833,25.54205833,South Africa,
10,-33.910557,25.538727,South Africa,
11,-33.907721,25.539237,South Africa,
12,-33.905915,25.540957,South Africa,
13,-33.907363,25.54244,South Africa,
14,-33.904622,25.544308,South Africa,
15,-33.903531,25.548189,South Africa,
16,-33.901628,25.546569,South Africa,
17,-33.90209333,25.54342333,South Africa,
18,-33.909751,25.549899,South Africa,
19,-33.911478,25.535508,South Africa,
20,-33.914263,25.532189,South Africa,
21,-33.915837,25.533853,South Africa,
22,-33.913565,25.536604,South Africa,
23,-25.35295167,31.64633167,South Africa,
24,-25.37138,31.63833833,South Africa,
25,-25.342125,31.635444,South Africa,
26,-25.363075,31.66871167,South Africa,
27,-25.35652833,31.626065,South Africa,
28,-25.346003,31.618135,South Africa,
29,-25.34816333,31.65697333,South Africa,
30,-25.360839,31.637771,South Africa,
31,-25.370371,31.621675,South Africa,
32,-25.33705333,31.62495167,South Africa,
33,-25.279837,31.551397,South Africa,
34,-25.33390833,31.66007167,South Africa,
35,-25.35005167,31.6349,South Africa,
36,-25.37904833,31.65241667,South Africa,
37,-25.35777167,31.61707167,South Africa,
38,-25.364365,31.629235,South Africa,
39,-25.35188333,31.66928,South Africa,
40,-25.33417167,31.64742167,South Africa,
41,-25.35882333,31.65765167,South Africa,
42,-25.377787,31.630915,South Africa,
43,-25.382595,31.63999667,South Africa,
44,-25.37229,31.66267167,South Africa,
45,-25.34319333,31.64909833,South Africa,
46,-25.32604333,31.63628667,South Africa,
47,-25.371875,31.65234167,South Africa,
48,-25.36575,31.61254667,South Africa,
49,-25.36820333,31.60211667,South Africa,
50,-25.37822333,31.60348833,South Africa,
51,-25.37443667,31.59060833,South Africa,
52,-25.37036167,31.57191167,South Africa,
53,-25.36524667,31.56071667,South Africa,
54,-25.35437333,31.585015,South Africa,
55,-25.354195,31.522397,South Africa,
56,-25.37829333,31.60352167,South Africa,
57,-25.33409833,31.57922667,South Africa,
58,-25.328655,31.591508,South Africa,
59,-25.358568,31.604943,South Africa,
60,-25.380135,31.61821833,South Africa,
61,-25.34041,31.586465,South Africa,
62,-25.36321833,31.54915667,South Africa,
63,-25.34243167,31.66779333,South Africa,
64,-25.36296833,31.53795167,South Africa,
65,-25.365825,31.582507,South Africa,
66,-25.359225,31.57281833,South Africa,
67,-25.34586,31.57574,South Africa,
68,-25.31882167,31.53868333,South Africa,
69,-25.312495,31.56241333,South Africa,
70,-25.32435833,31.57403167,South Africa,
71,-25.32280833,31.58184167,South Africa,
72,-25.338365,31.59915167,South Africa,
73,-25.34642167,31.60791167,South Africa,
74,-25.303995,31.536935,South Africa,
75,-25.3422,31.63545833,South Africa,
76,-25.33097667,31.56645333,South Africa,
77,-25.33697,31.552495,South Africa,
78,-25.34077833,31.53852167,South Africa,
79,-25.342275,31.56398167,South Africa,
80,-25.35038667,31.59594833,South Africa,
81,-25.35093,31.53634,South Africa,
82,-25.34103833,31.52513333,South Africa,
83,-25.32769167,31.53019667,South Africa,
84,-25.32608667,31.55728667,South Africa,
85,-25.34906333,31.55099833,South Africa,
86,-25.325225,31.60616167,South Africa,
87,-25.32964333,31.54118167,South Africa,
88,-25.36189,31.59363,South Africa,
89,-25.31836667,31.55080833,South Africa,
90,-25.33532167,31.61171167,South Africa,
91,-25.38556,31.60617333,South Africa,
92,-25.35058167,31.59601,South Africa,
93,-25.25798,31.52757,South Africa,
94,-25.38254,31.58963667,South Africa,
95,-25.33428333,31.64736333,South Africa,
96,-25.354405,31.560145,South Africa,
97,-25.385305,31.59691333,South Africa,
98,-25.32653667,31.620925,South Africa,
99,-25.267772,31.52565,South Africa,
100,-25.35657167,31.626035,South Africa,
101,-25.243342,31.493803,South Africa,
102,-25.36501833,31.64589,South Africa,
103,-25.231032,31.520307,South Africa,
104,-25.2281,31.508593,South Africa,
105,-25.37773167,31.63088667,South Africa,
106,-25.264501,31.600995,South Africa,
107,-25.250178,31.540537,South Africa,
108,-25.259184,31.566981,South Africa,
109,-25.465355,31.43302167,South Africa,
110,-25.46193,31.44526,South Africa,
111,-25.461538,31.454888,South Africa,
112,-25.44849833,31.46816667,South Africa,
113,-25.45561167,31.45606,South Africa,
114,-25.45214333,31.44076667,South Africa,
115,-25.45990333,31.42262,South Africa,
116,-25.448765,31.42532,South Africa,
117,-25.443355,31.46492667,South Africa,
118,-25.432675,31.4566,South Africa,
119,-25.43351,31.435565,South Africa,
120,-25.440697,31.430065,South Africa,
121,-25.443782,31.406995,South Africa,
122,-25.43408333,31.39696167,South Africa,
123,-25.40698,31.44673833,South Africa,
124,-25.38468167,31.438515,South Africa,
125,-25.40020333,31.40135667,South Africa,
126,-25.424573,31.431018,South Africa,
127,-25.431065,31.407042,South Africa,
128,-25.42722833,31.41963333,South Africa,
129,-25.41066833,31.43473167,South Africa,
130,-25.458795,31.46546667,South Africa,
131,-25.41635333,31.45301667,South Africa,
132,-25.39275667,31.42104167,South Africa,
133,-25.407115,31.42016,South Africa,
134,-25.410085,31.39047,South Africa,
135,-25.46958167,31.46521333,South Africa,
136,-25.41733833,31.40729333,South Africa,
137,-25.442145,31.45240833,South Africa,
138,-25.427545,31.393508,South Africa,
139,-25.41567167,31.41262833,South Africa,
140,41.07223,-80.67125833,Ohio,
141,41.07173333,-80.64541167,Ohio,
142,41.06819667,-80.64161167,Ohio,
143,41.072065,-80.64220833,Ohio,
144,41.06498,-80.65569667,Ohio,
145,41.06666667,-80.661725,Ohio,
146,41.06051,-80.657155,Ohio,
147,41.06638,-80.66588167,Ohio,
148,41.07590833,-80.645845,Ohio,
149,41.07904,-80.65937,Ohio,
150,41.071312,-80.656956,Ohio,
151,41.07340667,-80.65172167,Ohio,
152,41.07854667,-80.64261833,Ohio,
153,41.07831333,-80.66367,Ohio,
154,41.07202,-80.661969,Ohio,
155,41.0708,-80.67634833,Ohio,
156,41.07591167,-80.65733833,Ohio,
157,42.26419833,-71.78631167,"Worchester, MA",
158,42.266525,-71.79062,"Worchester, MA",
159,42.27007667,-71.79145333,"Worchester, MA",
160,42.27390833,-71.79335,"Worchester, MA",
161,42.27161333,-71.78786333,"Worchester, MA",
162,42.27774,-71.79456667,"Worchester, MA",
163,42.27980667,-71.79077167,"Worchester, MA",
164,42.26692333,-71.784405,"Worchester, MA",
165,42.27207167,-71.77961667,"Worchester, MA",
166,42.27662333,-71.77744333,"Worchester, MA",
167,42.27161167,-71.77544667,"Worchester, MA",
168,42.27099833,-71.76968833,"Worchester, MA",
169,42.26591,-71.77036333,"Worchester, MA",
170,42.26223333,-71.772625,"Worchester, MA",
171,42.26004167,-71.78364,"Worchester, MA",
172,42.26016333,-71.79568333,"Worchester, MA",
173,42.25651833,-71.79758667,"Worchester, MA",
174,42.25651,-71.78271333,"Worchester, MA",
175,42.25723167,-71.77380667,"Worchester, MA",
176,42.254565,-71.77846833,"Worchester, MA",
177,42.25279167,-71.77555,"Worchester, MA",
178,42.25157,-71.790595,"Worchester, MA",
179,42.25473333,-71.79266333,"Worchester, MA",
180,42.25028,-71.792155,"Worchester, MA",
181,42.24932,-71.78490167,"Worchester, MA",
182,-9999,-9999,"Worchester, MA",
183,42.2463,-71.78182,"Worchester, MA",
184,42.244515,-71.78519333,"Worchester, MA",
185,42.24107833,-71.79075667,"Worchester, MA",
186,42.24289667,-71.79516333,"Worchester, MA",
187,42.24302833,-71.80087833,"Worchester, MA",
188,42.23857167,-71.79628667,"Worchester, MA",
189,42.27093667,-71.79799833,"Worchester, MA",
190,42.271885,-71.800332,"Worchester, MA",
191,42.27363667,-71.81057,"Worchester, MA",
192,42.27232333,-71.80555667,"Worchester, MA",
193,42.27051167,-71.81453167,"Worchester, MA",
194,42.24445833,-71.804515,"Worchester, MA",
195,42.24254333,-71.811375,"Worchester, MA",
196,42.24350333,-71.81776167,"Worchester, MA",
197,42.243285,-71.82368833,"Worchester, MA",
198,42.25104833,-71.832115,"Worchester, MA",
199,42.25168667,-71.82317333,"Worchester, MA",
200,42.25479167,-71.828065,"Worchester, MA",
201,42.25822167,-71.82375,"Worchester, MA",
202,42.26234167,-71.81939833,"Worchester, MA",
203,42.26789,-71.79622,"Worchester, MA",
204,42.26258333,-71.79935333,"Worchester, MA",
205,42.26656667,-71.8007,"Worchester, MA",
206,42.26921833,-71.80357167,"Worchester, MA",
207,42.266873,-71.809977,"Worchester, MA",
208,42.25922167,-71.81512167,"Worchester, MA",
209,42.25928,-71.80326,"Worchester, MA",
210,42.26288167,-71.80678,"Worchester, MA",
211,42.25425,-71.81781667,"Worchester, MA",
212,42.24920333,-71.809855,"Worchester, MA",
213,42.25099333,-71.80391167,"Worchester, MA",
214,42.24997667,-71.81488833,"Worchester, MA",
215,42.26479667,-71.80202833,"Worchester, MA",
216,42.269015,-71.80722,"Worchester, MA",
217,42.24786,-71.83519833,"Worchester, MA",
218,42.24372167,-71.82795833,"Worchester, MA",
219,42.26627167,-71.81742333,"Worchester, MA",
220,42.24417333,-71.83560167,"Worchester, MA",
221,42.25265,-71.78338667,"Worchester, MA",
222,42.247645,-71.82415667,"Worchester, MA",
223,42.24665,-71.79492,"Worchester, MA",
224,42.23902833,-71.792325,"Worchester, MA",
225,42.27555167,-71.78434333,"Worchester, MA",
226,42.26676833,-71.77783,"Worchester, MA",
227,42.261335,-71.77864333,"Worchester, MA",
228,42.25576,-71.78723167,"Worchester, MA",
229,42.25065167,-71.77803167,"Worchester, MA",
230,42.28063333,-71.77688667,"Worchester, MA",
